City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,richards bay,-28.783,32.0377,72.09,94,0,4.25,ZA,1675725459
349,sept-iles,50.2001,-66.3821,12.2,72,0,8.05,CA,1675725503
350,eresos,39.1667,25.9333,32.9,78,75,31.25,GR,1675725890
351,dedenevo,56.25,37.5167,21.69,100,99,5.1,RU,1675725891
352,marquette,46.5333,-87.6335,27.03,82,100,8.99,US,1675725891
353,clyde river,70.4692,-68.5914,-25.37,68,20,5.75,CA,1675725449
354,praya,14.9215,-23.5087,68.54,56,75,28.77,CV,1675725644
355,tigzirt,36.8886,4.1198,51.35,76,81,6.6,DZ,1675725891
356,andros town,24.7,-77.7667,75.31,70,26,16.98,BS,1675725892
357,miraflores,19.2167,-98.8083,73.02,16,2,2.37,MX,1675725892
358,wonogiri,-7.8144,110.9259,74.05,92,100,0.89,ID,1675725892
359,fairbanks,64.8378,-147.7164,10.09,87,75,0.0,US,1675725300
360,deputatskiy,69.3,139.9,-30.91,98,100,4.09,RU,1675725607
361,san severo,41.6897,15.376,34.63,64,91,4.25,IT,1675725893
362,faanui,-16.4833,-151.75,81.18,76,9,16.13,PF,1675725375
363,tasiilaq,65.6145,-37.6368,12.36,90,98,7.36,GL,1675725484
364,magdagachi,53.45,125.8,-30.86,97,15,3.49,RU,1675725465
365,salisbury,51.0693,-1.7957,32.02,83,63,4.61,GB,1675725894
366,benguela,-12.5763,13.4055,75.87,80,93,5.91,AO,1675725894
